index,title,author,rating,price
87,Summer Brain Quest: Between Grades 1 & 2,Workman Publishing,4.5 out of 5 stars,$10.00
88,The Tattooist of Auschwitz: A Novel,Heather Morris,4.6 out of 5 stars,$10.19
89,"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed",Lori Gottlieb,4.7 out of 5 stars,$14.03
90,Unfu*k Yourself: Get Out of Your Head and into Your Life,Gary John Bishop,4.5 out of 5 stars,$12.55
91,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.6 out of 5 stars,$29.92
92,"Summer Bridge Activities - Grades 7 - 8, Workbook for Summer Learning Loss, Math, Reading, Writing and More with Flash Cards",Summer Bridge Activities,4.3 out of 5 stars,$10.00
93,My Dad Loves Me! (Marianne Richmond),Marianne Richmond,4.5 out of 5 stars,$5.57
94,Range: Why Generalists Triumph in a Specialized World,David Epstein,4.5 out of 5 stars,$16.80
95,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8 out of 5 stars,$21.99
96,The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7 out of 5 stars,$14.94
97,The Obesity Code: Unlocking the Secrets of Weight Loss,Dr. Jason Fung,4.7 out of 5 stars,$12.88
98,StrengthsFinder 2.0,Tom Rath,4.0 out of 5 stars,$14.59
99,The Silent Patient,Alex Michaelides,4.3 out of 5 stars,$15.99
